               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,             0.02963,           0.0072944,           0.0087018,             0.59959,             0.64829,             0.76067,              0.5998,            0.022051,           0.0047686,           0.0097786,             0.00571,             0.00571,             0.00571
                 132,            0.027249,           0.0082588,            0.007315,             0.68551,             0.88306,               0.803,             0.55639,             0.02964,           0.0050635,           0.0091599,            0.005677,            0.005677,            0.005677
                 133,            0.032865,           0.0072247,           0.0099673,             0.68551,             0.88306,               0.803,             0.55639,             0.02964,           0.0050635,           0.0091599,            0.005644,            0.005644,            0.005644
                 134,            0.028531,           0.0079366,           0.0094663,             0.60633,             0.80844,             0.84243,             0.54244,            0.025988,            0.005028,           0.0090797,            0.005611,            0.005611,            0.005611
                 135,            0.026507,              0.0072,            0.010741,             0.60661,             0.77083,             0.82892,             0.55061,            0.029219,           0.0050318,           0.0091671,            0.005578,            0.005578,            0.005578
                 136,            0.036065,           0.0092995,            0.011389,             0.60661,             0.77083,             0.82892,             0.55061,            0.029219,           0.0050318,           0.0091671,            0.005545,            0.005545,            0.005545
                 137,            0.036632,           0.0087984,            0.012746,             0.53669,             0.77083,               0.838,             0.55893,            0.023717,            0.005229,           0.0094845,            0.005512,            0.005512,            0.005512
                 138,            0.030179,           0.0099141,            0.010038,             0.61203,              0.9375,             0.84434,              0.6286,            0.025873,           0.0052693,           0.0093849,            0.005479,            0.005479,            0.005479
                 139,            0.029998,           0.0093249,            0.010349,             0.61203,              0.9375,             0.84434,              0.6286,            0.025873,           0.0052693,           0.0093849,            0.005446,            0.005446,            0.005446
                 140,            0.026631,           0.0091012,            0.014374,             0.61955,              0.9375,             0.86497,             0.61713,            0.022028,           0.0052304,           0.0095844,            0.005413,            0.005413,            0.005413
                 141,            0.024891,           0.0086462,           0.0082276,             0.60481,              0.9375,             0.82954,             0.56655,             0.02757,           0.0051119,           0.0089928,             0.00538,             0.00538,             0.00538
                 142,            0.031447,             0.00746,            0.010297,             0.60481,              0.9375,             0.82954,             0.56655,             0.02757,           0.0051119,           0.0089928,            0.005347,            0.005347,            0.005347
                 143,            0.030924,           0.0081284,            0.008917,             0.65743,              0.9375,             0.80721,             0.65317,            0.020569,           0.0049424,           0.0088467,            0.005314,            0.005314,            0.005314
                 144,            0.026492,           0.0078852,           0.0081091,             0.60016,              0.9829,             0.82492,             0.57441,            0.027517,           0.0049887,           0.0086224,            0.005281,            0.005281,            0.005281
                 145,            0.035083,            0.008094,            0.006222,             0.60016,              0.9829,             0.82492,             0.57441,            0.027517,           0.0049887,           0.0086224,            0.005248,            0.005248,            0.005248
                 146,            0.031377,           0.0087093,            0.010222,             0.57693,             0.85417,             0.82842,             0.58223,            0.024189,           0.0048463,           0.0085392,            0.005215,            0.005215,            0.005215
                 147,            0.030077,            0.008968,           0.0096719,             0.63457,             0.98589,             0.87562,             0.61097,            0.026664,           0.0049934,           0.0085041,            0.005182,            0.005182,            0.005182
                 148,            0.030298,           0.0083445,           0.0096467,             0.63457,             0.98589,             0.87562,             0.61097,            0.026664,           0.0049934,           0.0085041,            0.005149,            0.005149,            0.005149
                 149,            0.027328,           0.0064673,           0.0061127,             0.68105,             0.98443,             0.87562,             0.64923,            0.022693,           0.0048041,           0.0084393,            0.005116,            0.005116,            0.005116
                 150,            0.025456,           0.0068742,           0.0087359,             0.68644,              0.9907,             0.87063,             0.67341,            0.022929,           0.0047011,           0.0084267,            0.005083,            0.005083,            0.005083
                 151,            0.028189,           0.0091248,           0.0081161,             0.68644,              0.9907,             0.87063,             0.67341,            0.022929,           0.0047011,           0.0084267,             0.00505,             0.00505,             0.00505
                 152,            0.027803,           0.0080896,            0.010593,             0.70176,             0.99053,             0.87063,             0.71481,            0.020457,           0.0046315,           0.0084034,            0.005017,            0.005017,            0.005017
                 153,             0.02294,           0.0077187,           0.0091801,              0.6621,              0.9375,             0.88949,             0.59059,             0.02679,           0.0047932,             0.00826,            0.004984,            0.004984,            0.004984
                 154,            0.029545,            0.011022,            0.011369,              0.6621,              0.9375,             0.88949,             0.59059,             0.02679,           0.0047932,             0.00826,            0.004951,            0.004951,            0.004951
                 155,            0.028065,           0.0073643,            0.010841,             0.71814,             0.94707,               0.855,             0.60077,            0.020282,           0.0045655,           0.0083187,            0.004918,            0.004918,            0.004918
                 156,            0.021624,           0.0073268,             0.01093,             0.69518,              0.9039,             0.89104,             0.61388,            0.028108,           0.0045993,           0.0082748,            0.004885,            0.004885,            0.004885
                 157,            0.036611,           0.0080959,           0.0090442,             0.69518,              0.9039,             0.89104,             0.61388,            0.028108,           0.0045993,           0.0082748,            0.004852,            0.004852,            0.004852
                 158,            0.029868,           0.0086359,           0.0083488,              0.7782,             0.97993,             0.87562,             0.64994,            0.022473,           0.0045688,           0.0082428,            0.004819,            0.004819,            0.004819
                 159,            0.023962,           0.0065582,            0.011221,             0.77253,             0.96817,             0.87042,             0.55887,            0.023247,           0.0043976,           0.0081291,            0.004786,            0.004786,            0.004786
